timestamp,open,high,low,close,volume
2023-01-17,146.4200,147.1800,145.0100,145.1900,2986461
2023-01-13,144.0600,146.1000,144.0100,145.8900,2455786
2023-01-12,144.8800,146.6600,144.5200,145.5500,2716118
2023-01-11,145.0000,145.5300,143.4500,145.2600,3268738
2023-01-10,143.6100,144.8500,142.9000,144.8000,2152172
2023-01-09,144.0800,145.4700,143.4000,143.5500,3987782
2023-01-06,142.3800,144.2500,141.5800,143.7000,3574042
2023-01-05,142.4400,142.4980,140.0100,141.1100,2866648
2023-01-04,142.0700,143.6150,141.3675,142.6000,3869236
2023-01-03,141.1000,141.9000,140.4800,141.5500,3338829
2022-12-30,140.5400,140.9000,139.4500,140.8900,2858110
2022-12-29,140.5800,142.2600,140.4500,141.0600,2337207
2022-12-28,142.4000,142.8100,139.9500,140.0200,2539577
2022-12-27,141.7300,142.7200,141.2300,142.4200,2742525
2022-12-23,140.5900,141.8565,139.6000,141.6500,2092715
2022-12-22,140.9500,141.4400,138.6200,140.8800,3337851
2022-12-21,141.8400,143.0900,140.9750,142.1400,3793700
2022-12-20,138.8400,141.4250,138.3400,141.2800,5156450
2022-12-19,140.1600,140.4400,137.1950,138.8700,5282860
2022-12-16,141.2500,141.9150,138.9700,140.1600,9834427
2022-12-15,148.5200,148.9800,141.5800,142.3600,6687744
2022-12-14,150.4700,151.9100,148.4500,149.8600,4205878
2022-12-13,150.3700,153.2100,149.9500,150.5700,8811553
2022-12-12,147.8200,149.2100,146.9426,149.2100,4032780
